time = 5000 ns, clk = 1, clk_out = 0, rst = 1
time = 10000 ns, clk = 0, clk_out = 0, rst = 0
time = 15000 ns, clk = 1, clk_out = 0, rst = 0
time = 20000 ns, clk = 0, clk_out = 0, rst = 0
time = 25000 ns, clk = 1, clk_out = 0, rst = 0
time = 30000 ns, clk = 0, clk_out = 0, rst = 0
time = 35000 ns, clk = 1, clk_out = 0, rst = 0
time = 40000 ns, clk = 0, clk_out = 0, rst = 0
time = 45000 ns, clk = 1, clk_out = 0, rst = 0
time = 50000 ns, clk = 0, clk_out = 0, rst = 0
time = 55000 ns, clk = 1, clk_out = 0, rst = 0
time = 60000 ns, clk = 0, clk_out = 1, rst = 0
time = 65000 ns, clk = 1, clk_out = 1, rst = 0
time = 70000 ns, clk = 0, clk_out = 1, rst = 0
time = 75000 ns, clk = 1, clk_out = 1, rst = 0
time = 80000 ns, clk = 0, clk_out = 1, rst = 0
time = 85000 ns, clk = 1, clk_out = 1, rst = 0
time = 90000 ns, clk = 0, clk_out = 1, rst = 0
time = 95000 ns, clk = 1, clk_out = 1, rst = 0
time = 100000 ns, clk = 0, clk_out = 1, rst = 0
time = 105000 ns, clk = 1, clk_out = 1, rst = 0
time = 110000 ns, clk = 0, clk_out = 0, rst = 0
time = 115000 ns, clk = 1, clk_out = 0, rst = 0
time = 120000 ns, clk = 0, clk_out = 0, rst = 0
time = 125000 ns, clk = 1, clk_out = 0, rst = 0
time = 130000 ns, clk = 0, clk_out = 0, rst = 0
time = 135000 ns, clk = 1, clk_out = 0, rst = 0
time = 140000 ns, clk = 0, clk_out = 0, rst = 0
time = 145000 ns, clk = 1, clk_out = 0, rst = 0
time = 150000 ns, clk = 0, clk_out = 0, rst = 0
time = 155000 ns, clk = 1, clk_out = 0, rst = 0
time = 160000 ns, clk = 0, clk_out = 1, rst = 0
time = 165000 ns, clk = 1, clk_out = 1, rst = 0
time = 170000 ns, clk = 0, clk_out = 1, rst = 0
time = 175000 ns, clk = 1, clk_out = 1, rst = 0
time = 180000 ns, clk = 0, clk_out = 1, rst = 0
time = 185000 ns, clk = 1, clk_out = 1, rst = 0
time = 190000 ns, clk = 0, clk_out = 1, rst = 0
time = 195000 ns, clk = 1, clk_out = 1, rst = 0
time = 200000 ns, clk = 0, clk_out = 1, rst = 0
time = 205000 ns, clk = 1, clk_out = 1, rst = 0
